	Date	Headline	URL	Opening Text	Hit Sentence	Source	Influencer	Country	Subregion	Language	Reach	Twitter Social Echo	Facebook Social Echo	National Viewership	AVE	Sentiment	Key Phrases	Input Name	Keywords	Document Tags	Translated Headline	Translated Hit Sentence	Category
1	2019-01-02 12:46:49	Jolt to Congress' gathbandhan dreams! AAP to fight Delhi, Punjab, Haryana, Goa elections alone	http://www.sahafiedeccan.com/news_details.php?news_id=989	New Delhi: In a jolt to the Congress' gathbandhan or coalition dreams, key potential allies appear to be falling out before the Lok Sabha...	potential allies appear to be falling out before the Lok Sabha election 2019 fight. After Samajwadi Party Chief Akhilesh Yadav and Bahujan	Sahafi e Deccan		in		en	0	0	0		0.0	neutral	Goa elections,coalition dreams,gathbandhan dreams,Congress,upcoming state elections,third front,Lok Sabha election 2019 fight,Samajwadi Party Chief Akhilesh Yadav,Delhi Chief Minister Arvind Kejriwal,Rajasthan and Madhya Pradesh state polls	Election 2019	election 2019		Jolt to Congress' gathbandhan dreams! AAP to fight Delhi, Punjab, Haryana, Goa elections alone	potential allies appear to be falling out before the Lok Sabha election 2019 fight. After Samajwadi Party Chief Akhilesh Yadav and Bahujan	unknown
2	2019-01-02 14:33:11	BJP Chief Amit Shah to visit Tripura on January 5	http://www.tripurachronicle.in/NewsDet.aspx?nId=12735	BJP chief Amit Shah would pay a day visit to Tripura on January 5, for addressing a Pristha Promukh sanmmelan and would interact with the...	told reporters.  She also said during the visit of BJP chief the state BJP will start their campaign for upcoming Lok Sabha election 2019.	Tripura Chronicle		in		en	130	0	0		1.2	neutral	BJP Chief Amit Shah,cabinet ministers,state,BJP state office,Pristha Promukh sanmmelan,General Secretary,Lok Sabha election,visit,Tripura,meeting	Election 2019	election 2019		BJP Chief Amit Shah to visit Tripura on January 5	told reporters.  She also said during the visit of BJP chief the state BJP will start their campaign for upcoming Lok Sabha election 2019.	/News/Politics
4	2019-01-03 10:53:22	PM Modi's followers ask guests not to gift in wedding but instead vote for BJP in 2019	https://www.newsnation.in/offbeat/narendra-modis-followers-ask-guests-not-to-gift-in-wedding-but-instead-vote-for-bjp-in-2019-lok-sabha-elections-article-210495.html	Earlier, Modi took to Twitter to share one such incident where one of his supporters put the Swachh Bharat logo on wedding cards.	to cast votes for Prime Minister Narendra Modi in the upcoming Lok Sabha election 2019 as part of their wedding gifts. “Our gift is your	News Nation		in	National regional	en	51765	7	39		478.83	negative	wedding cards,PM Modi,Swachh Bharat logo,invitation card,gift,guests,upcoming Lok Sabha election,Assembly elections,general elections,similar appeal	Election 2019	election 2019		PM Modi's followers ask guests not to gift in wedding but instead vote for BJP in 2019	to cast votes for Prime Minister Narendra Modi in the upcoming Lok Sabha election 2019 as part of their wedding gifts. “Our gift is your	/News
5	2019-01-03 08:03:27	ಎಸ್ ಎಂ ಕೃಷ್ಣ ರನ್ನ ಭೇಟಿ ಮಾಡಿದ ಬಿ ಎಸ್ ಯಡಿಯೂರಪ್ಪ | Oneindia Kannada	https://m.dailyhunt.in/news/india/kannada/oneindia+kannada+video-epaper-onkvideo/es+em+krushna+ranna+bheti+maadidha+bi+es+yadiyurappa+oneindia+kannada-newsid-105402937	Karnataka BJP president B.S.Yeddyurappa met senior party leader S.M.Krishna in Bengaluru. Yeddyurappa requested S.M.Krishna to campaign for...	met senior party leader S.M.Krishna in Bengaluru. Yeddyurappa requested S.M.Krishna to campaign for Lok Sabha Election 2019.  Dailyhunt	dailyhunt-kannada		in		en	9637	0	0		89.14	neutral	senior party leader S.M.Krishna,Lok Sabha Election,S.Yeddyurappa,campaign,ಂ ಕೃಷ್ಣ ರನ್ನ ಭೇಟಿ ಮಾಡಿದ ಬಿ ಎಸ	Election 2019	Election 2019		BS Yeddyurappa meets SM Krishna Oneindia Kannada	met senior party leader S.M.Krishna in Bengaluru. Yeddyurappa requested S.M.Krishna to campaign for Lok Sabha Election 2019.  Dailyhunt	unknown
6	2019-01-03 01:58:25	Lok Sabha Election 2019 : Polling for the fourth phase  begins in India	http://www.thefastmail.com/page/detailnews/lok-sabha-election-2019-polling-for-the-fourth-phase-begins-in-india/74394	 (FastMail) - The fourth phase of polling begins  in 72 constituencies across nine States amidst tight security on Monday. In West Bengal,...	Lok Sabha Election 2019 : Polling for the fourth phase  begins in India	Fast Mail	the fast mail	in		en	679	1	4		6.28	neutral	Polling,Congress,Lok Sabha seat,seats,fourth phase,ruling Trinamool Congress,Nationalist Congress party,Kanhaiya Kumar and Union minister Giriraj Singh,contestants,Former Union ministers Salman Khurshid	Election 2019	Election 2019		Lok Sabha Election 2019 : Polling for the fourth phase  begins in India	Lok Sabha Election 2019 : Polling for the fourth phase  begins in India	/News/Politics
7	2019-01-03 05:54:45	IICC Election 2019 : प्रेसिडेंट का चुनाव करने से पहले मेंबर्स बरतें यह सावधानी	http://asiatimes.co.in/iicc-election-2019/	नई दिल्ली : (एशिया टाइम्स डेस्क) “ लीडर वह होता है जो रास्ता जानता है ,रास्ते पर चलता है और दूसरों को रास्ता दिखता है , लीडर वह होता है जो...	IICC Election 2019 : प्रेसिडेंट का चुनाव करने से पहले मेंबर्स बरतें यह सावधानी	Asia Times	Asia Desk	in	Delhi	hi	93	1	8		0.86	neutral	लीडर,इंडिया इस्लामिक कल्चरल सेंटर,आरिफ मुहम्मद खान,पूर्व कैबिनेट मंत्री आरिफ मोहम्मद खान,डटे ग्रुप,सिराजुद्दीन कुरैशी,दूसरों,प्रेसिडेंट,चुनाव,शाही दावतों	Election 2019	Election 2019		IICC Election 2019: Presence of Members Before Choosing President This Caution	IICC Election 2019: Presence of Members Before Choosing President This Caution	/News/Politics
8	2019-01-03 11:38:57	PM मोदी ने गुरदासपुर रैली में कांग्रेस पर कर्जमाफी और सिख दंगे को लेकर जमकर हमला बोला	https://www.inkhabar.com/national/pm-narendra-modi-attacked-congress-over-1984-anti-sikh-riots-and-farm-loan-waiver-issues-in-first-rally-of-2019-in-gurdaspur-punjab	PM Narendra Modi First Rally in 2019 Gurdaspur Punjab: प्रधानमंत्री नरेंद्र मोदी ने लोकसभा चुनाव की तैयारी शुरू कर दी है. इसके मद्देनजर...	योजनाएं लागू करने की दिशा में और तेजी से काम करना होगा.  Lok Sabha Election 2019: शादी के कार्ड में मेहमानों से अपील, गिफ्ट के तौर पर आगामी	InKhabar	इनखबर टीम	in	National	hi	60585	6	27		560.41	neutral	सिख दंगे,पीएम मोदी,कर्ज माफ,गुरदासपुर रैली,कांग्रेस,प्रधानमंत्री नरेंद्र मोदी,किसानों,पंजाब,सरकारी योजनाओं,काम शुरू	Election 2019	Election 2019		PM Modi attacked the Congress on the debt waiver and Sikh riots in Gurdaspur rally	To implement schemes, work will be done more quickly. Lok Sabha Election 2019: Appeal for guests in wedding card, upcoming gift	/News/Politics
9	2019-01-03 10:44:08	दूल्हा दुल्हन की अपील, गिफ्ट के तौर पर दें पीएम मोदी को वोट	https://www.inkhabar.com/national/lok-sabha-election-2019-wedding-invite-asking-guests-to-gift-vote-for-pm-narendra-modi-in-lok-sabha-elections-goes-viral	Lok Sabha Election 2019: सूरत के एक परिवार ने शादी के कार्ड पर लिखवाया है कि शादी के गिफ्ट के तौर पर मेहमान बस इतना करें कि आगामी लोकसभा...	Lok Sabha Election 2019: सूरत के एक परिवार ने शादी के कार्ड पर लिखवाया है कि शादी के गिफ्ट के तौर पर मेहमान बस इतना करें कि आगामी लोकसभा	InKhabar	इनखबर टीम	in	National	hi	60585	3	23		560.41	neutral	पीएम मोदी,कार्ड,वायरल,सूरत,अपील,मोदी सरकार,शादी,गिफ्ट,एक्टर राहुल राज सिंह,आगामी लोकसभा चुनावों	Election 2019	Election 2019		Vote for PM Modi as groom&#39;s bride, gift as gift	Lok Sabha Election 2019: A family of Surat has written on the card of marriage that guests should simply do so as the gift of marriage that the upcoming Lok Sabha	/News/Politics
14	2019-01-01 22:23:48	Nokia 8110 4G to get WhatsApp support in more regions, KaiOS has confirmed	https://in.finance.yahoo.com/news/nokia-8110-4g-whatsapp-support-035348312.html	Currently only available for Nokia 8110 4G users in India, KaiOS has confirmed in a Twitter post, that the platform will be soon adding...	-in-Picture for shared videos globally: Report  India's general election 2019 will be the biggest test of social media influence on results	Yahoo! India Finance	tech2 News Staff	in	National regional	en	501019	0	0		4634.43	neutral	"Banana phone,India,WhatsApp,""confirmed date,Nokia 8110,tech2 News Staff,KaiOS,Smart Feature Play Store,device,YouTube, WhatsApp and Facebook support"	Election 2019	election 2019		Nokia 8110 4G to get WhatsApp support in more regions, KaiOS has confirmed	-in-Picture for shared videos globally: Report  India's general election 2019 will be the biggest test of social media influence on results	/Computers & Electronics/Consumer Electronics
17	2019-01-01 13:15:09	5 राज्यों में हार के बाद पीएम मोदी ने कही ये बात	https://khabar.ndtv.com/news/india/know-what-pm-modi-said-on-loss-in-5-states-1971046	नई दिल्ली: प्रधानमंत्री नरेंद्र मोदी (Pm Narendra Modi) ने ANI को दिए एक इंटरव्यू में कहा है कि 2019 में होने वाला चुनाव ''जनता vs गठबंधन...	ही राम मंदिर पर अध्यादेश संभव  आपको बता दें कि चुनावों (Lok Sabha Election 2019) की घोषणा से पहले पीएम मोदी 100 रैलियां करेंगे. अपनी सरकार	NDTV Khabar.com		in	National regional	hi	662486	2	356		6128.0	neutral	पीएम मोदी,मोदी लहर,प्रधानमंत्री नरेंद्र मोदी,राज्यों,बीजेपी,मोदी जीत,चुनाव,दावे,रैलियां,आकांक्षाओं	Election 2019	Election 2019		PM Modi said after the defeat in 5 states	Only Ordinance on Ram Temple can tell you that before the announcement of the elections (Lok Sabha Election 2019), PM Modi will do 100 rallies. Your government	/News/Politics
